ID_Cliente,Fecha_Mes,Suscripcion_Activa,Interacciones_Soporte,Uso_Del_Servicio
1,2025-04-01,1,1,17.7
1,2025-05-01,1,0,19.1
1,2025-06-01,1,0,19.1
1,2025-07-01,1,2,14.8
1,2025-08-01,1,0,24.3
1,2025-09-01,0,1,16.8
2,2025-10-01,0,0,23.1
3,2025-05-01,1,0,26.9
3,2025-06-01,1,1,14.1
3,2025-07-01,1,0,14.8
3,2025-08-01,1,0,12.6
3,2025-09-01,1,0,13.4
3,2025-10-01,1,0,14.7
3,2025-11-01,0,1,5.4
4,2025-06-01,1,0,36.2
4,2025-07-01,1,1,38.9
4,2025-08-01,1,0,30.3
4,2025-09-01,1,0,23.1
4,2025-10-01,1,0,16.8
4,2025-11-01,1,0,13.3
4,2025-12-01,0,1,8.5
5,2025-03-01,0,0,21.4
6,2025-01-01,1,0,12.9
6,2025-02-01,1,0,20.0
6,2025-03-01,1,0,23.9
6,2025-04-01,1,0,20.1
6,2025-05-01,1,0,20.5
6,2025-06-01,1,0,19.1
6,2025-07-01,1,0,19.4
6,2025-08-01,1,0,14.6
6,2025-09-01,1,0,16.7
6,2025-10-01,0,2,22.6
7,2025-01-01,1,2,8.3
7,2025-02-01,1,0,9.5
7,2025-03-01,1,0,12.9
7,2025-04-01,0,3,7.7
8,2025-01-01,1,0,17.7
8,2025-02-01,1,0,15.7
8,2025-03-01,0,0,16.1
9,2025-08-01,1,0,20.4
9,2025-09-01,1,0,14.4
9,2025-10-01,1,2,18.0
9,2025-11-01,0,1,17.7
10,2024-12-01,1,2,18.0
10,2025-01-01,1,0,10.7
10,2025-02-01,0,0,14.0
11,2025-05-01,1,0,19.6
11,2025-06-01,1,1,22.4
11,2025-07-01,1,2,22.8
11,2025-08-01,1,0,26.5
11,2025-09-01,1,0,24.0
11,2025-10-01,1,0,19.1
11,2025-11-01,0,0,21.4
12,2025-09-01,1,1,20.0
12,2025-10-01,1,0,18.6
12,2025-11-01,1,0,12.5
12,2025-12-01,1,0,14.8
13,2024-12-01,0,0,19.9
14,2025-04-01,1,0,20.7
14,2025-05-01,1,1,25.8
14,2025-06-01,1,0,19.6
14,2025-07-01,1,0,20.1
14,2025-08-01,1,0,22.2
14,2025-09-01,1,0,19.5
14,2025-10-01,1,0,16.7
14,2025-11-01,1,0,24.1
14,2025-12-01,1,1,18.2
15,2025-04-01,1,0,14.8
15,2025-05-01,1,1,12.8
15,2025-06-01,1,0,14.6
15,2025-07-01,1,0,8.6
15,2025-08-01,1,0,14.7
15,2025-09-01,1,0,17.5
15,2025-10-01,1,0,16.3
15,2025-11-01,1,0,18.1
15,2025-12-01,1,0,19.9
16,2025-05-01,1,0,13.2
16,2025-06-01,1,1,16.6
16,2025-07-01,1,0,12.6
16,2025-08-01,1,2,11.9
16,2025-09-01,1,0,14.7
16,2025-10-01,1,0,19.9
16,2025-11-01,1,0,18.8
16,2025-12-01,1,1,15.3
17,2025-11-01,1,1,32.9
17,2025-12-01,1,0,23.8
18,2025-05-01,1,0,20.7
18,2025-06-01,1,0,17.3
18,2025-07-01,1,0,18.3
18,2025-08-01,1,0,19.9
18,2025-09-01,1,0,15.3
18,2025-10-01,1,1,16.4
18,2025-11-01,1,0,18.0
18,2025-12-01,1,0,18.0
19,2024-08-01,1,0,14.4
19,2024-09-01,1,0,13.3
19,2024-10-01,0,0,6.7
20,2025-04-01,1,0,14.7
20,2025-05-01,1,0,15.5
20,2025-06-01,1,0,15.4
20,2025-07-01,1,1,14.2
20,2025-08-01,1,0,13.4
20,2025-09-01,1,1,5.1
20,2025-10-01,1,0,1.8
20,2025-11-01,1,2,0.0
20,2025-12-01,1,0,0.0
21,2024-10-01,1,0,19.2
21,2024-11-01,1,2,19.9
21,2024-12-01,1,0,13.2
21,2025-01-01,1,1,11.9
21,2025-02-01,0,1,15.1
22,2025-08-01,1,2,15.6
22,2025-09-01,1,1,16.8
22,2025-10-01,1,0,14.5
22,2025-11-01,1,1,16.2
22,2025-12-01,1,0,10.2
23,2025-09-01,1,1,3.0
23,2025-10-01,0,1,3.8
24,2024-12-01,1,0,24.5
24,2025-01-01,1,2,25.1
24,2025-02-01,1,0,29.1
24,2025-03-01,0,0,23.9
25,2025-12-01,1,0,28.1
26,2025-01-01,1,0,25.7
26,2025-02-01,1,0,23.2
26,2025-03-01,0,0,24.3
27,2025-12-01,1,2,5.2
28,2024-07-01,1,1,1.4
28,2024-08-01,0,1,2.1
29,2024-07-01,1,0,26.4
29,2024-08-01,1,0,35.8
29,2024-09-01,1,0,32.7
29,2024-10-01,1,0,34.1
29,2024-11-01,1,0,31.2
29,2024-12-01,1,1,29.9
29,2025-01-01,1,1,31.4
29,2025-02-01,0,0,26.2
30,2025-07-01,1,0,8.3
30,2025-08-01,1,0,6.3
30,2025-09-01,1,0,8.5
30,2025-10-01,1,0,9.4
30,2025-11-01,1,0,10.6
30,2025-12-01,1,0,7.8
31,2024-08-01,1,0,19.0
31,2024-09-01,1,0,20.9
31,2024-10-01,1,0,13.8
31,2024-11-01,1,0,9.5
31,2024-12-01,1,0,10.9
31,2025-01-01,0,1,2.7
32,2025-02-01,1,1,25.7
32,2025-03-01,1,0,22.5
32,2025-04-01,1,0,24.1
32,2025-05-01,1,0,17.4
32,2025-06-01,1,0,12.5
32,2025-07-01,1,0,13.2
32,2025-08-01,1,0,9.7
32,2025-09-01,1,2,5.4
32,2025-10-01,1,0,2.2
32,2025-11-01,0,0,1.0
33,2025-10-01,1,0,10.2
33,2025-11-01,1,1,10.7
33,2025-12-01,0,0,6.7
34,2025-08-01,1,0,10.6
34,2025-09-01,1,1,18.4
34,2025-10-01,1,0,14.3
34,2025-11-01,1,1,11.7
34,2025-12-01,1,2,4.6
35,2024-07-01,1,0,10.4
35,2024-08-01,1,0,13.8
35,2024-09-01,0,0,10.7
36,2025-06-01,1,1,18.6
36,2025-07-01,1,0,18.4
36,2025-08-01,0,1,19.9
37,2024-12-01,1,0,19.0
37,2025-01-01,1,0,14.4
37,2025-02-01,1,0,13.3
37,2025-03-01,1,0,18.3
37,2025-04-01,1,1,7.9
37,2025-05-01,0,1,7.9
38,2025-05-01,1,0,14.8
38,2025-06-01,1,1,11.5
38,2025-07-01,1,0,10.1
38,2025-08-01,1,0,11.9
38,2025-09-01,1,2,14.5
38,2025-10-01,1,1,12.8
38,2025-11-01,1,0,10.8
38,2025-12-01,1,1,13.9
39,2025-05-01,1,0,12.3
39,2025-06-01,1,2,6.2
39,2025-07-01,1,2,7.8
39,2025-08-01,0,0,11.5
40,2025-11-01,1,2,15.9
40,2025-12-01,0,1,9.7
41,2025-10-01,1,0,13.3
41,2025-11-01,1,0,10.4
41,2025-12-01,1,0,14.4
42,2025-05-01,1,1,19.7
42,2025-06-01,1,0,21.3
42,2025-07-01,1,0,16.4
42,2025-08-01,1,0,19.2
42,2025-09-01,1,1,25.3
42,2025-10-01,0,1,20.6
43,2025-04-01,1,0,21.1
43,2025-05-01,1,0,17.1
43,2025-06-01,1,1,23.6
43,2025-07-01,1,1,19.9
43,2025-08-01,1,0,13.4
43,2025-09-01,0,0,22.7
44,2025-09-01,1,0,20.7
44,2025-10-01,1,0,21.1
44,2025-11-01,1,0,24.7
44,2025-12-01,1,0,26.1
45,2024-09-01,1,1,20.9
45,2024-10-01,1,0,18.3
45,2024-11-01,0,0,14.8
46,2025-01-01,1,1,16.4
46,2025-02-01,1,0,18.9
46,2025-03-01,0,0,17.8
47,2024-09-01,1,2,22.3
47,2024-10-01,1,0,28.1
47,2024-11-01,0,1,29.6
48,2025-04-01,1,0,10.7
48,2025-05-01,1,0,13.6
48,2025-06-01,1,0,9.9
48,2025-07-01,1,1,8.7
48,2025-08-01,1,0,10.0
48,2025-09-01,1,1,9.0
48,2025-10-01,1,1,12.5
48,2025-11-01,1,0,12.9
48,2025-12-01,1,1,8.7
49,2025-09-01,1,0,26.5
